lineup_id,player0,player1,player2,player3,off_rating,def_rating,eff_fg,reb_rate,to_rate,ft_rate,num_poss,clinch_rating,eff_fg_value,reb_rate_value,to_rate_value,ft_rate_value,
104,Bridges,DiVincenzo,Jenkins,Ochefu,129.5,115.1,4,2,2.5,1.276914285,7,9.776914285,75.0,57.6,0,28.8,
86,DiVincenzo,Hart,Jenkins,Reynolds,231.2,50.3,4,2,2.5,0.7574,10,9.2574,116.7,70.4,10.1,20.1,
88,Booth,Brunson,DiVincenzo,Reynolds,137.9,42.4,4,1.122179237,2.5,1.456057142,9.4,9.078236379,68.8,42.4,10.6,31.8,
73,Arcidiacono,Brunson,Ochefu,Reynolds,137.4,113.1,3.026666647,2,2.5,1.5,12.4,9.026666647,57.7,56.6,8.1,40.4,
107,Booth,Brunson,DiVincenzo,Ochefu,169.9,77.2,4,2,2.5,0.476742857,6.5,8.976742857,68.8,61.8,0,15.4,
52,Booth,Bridges,Brunson,Ochefu,136.9,89.4,3.559999979,2,1.822413813,1.372457142,105.2,8.754870935,61.7,56.1,14.3,30.4,
119,Booth,Brunson,DiVincenzo,Jenkins,201.1,67,4,1.271403766,2.5,0.888771428,4.5,8.660175194,90.0,44.7,0,22.3,
83,Brunson,DiVincenzo,Hart,Ochefu,138.2,27.6,2.666666648,1.959134204,2.5,1.5,10.9,8.625800852,55.0,55.3,0,55.3,
58,Booth,Brunson,Ochefu,Reynolds,120.4,104.9,2.573333315,2,2.382758637,1.5,25.8,8.456091952,54.3,66,11.7,38.8,
82,Arcidiacono,Bridges,Ochefu,Reynolds,146.8,183.5,4,1.939670135,0.960344853,1.5,10.9,8.400014988,75.0,55,18.3,36.7,
112,Brunson,Jenkins,Ochefu,Reynolds,167.4,186,4,1.991574319,0.895689681,1.5,5.4,8.387264,75.0,55.8,18.6,93,
37,Booth,Bridges,Jenkins,Ochefu,126.4,94.6,3.733333312,1.504972594,1.628448297,1.5,144.8,8.366754203,63.0,48.3,15.2,33.1,
137,Brunson,DiVincenzo,Jenkins,Reynolds,233.6,0,4,0.265760201,2.5,1.5,3.4,8.265760201,125.0,29.2,0,87.6,
97,Arcidiacono,Brunson,DiVincenzo,Reynolds,212.5,50,4,2,2.210344845,0,8,8.210344845,85.0,62.5,12.5,0,
81,Brunson,DiVincenzo,Hart,Reynolds,156,55,4,0.15546381,2.5,1.5,10.9,8.15546381,70.0,27.5,9.2,36.7,
20,Arcidiacono,Bridges,Jenkins,Ochefu,119.6,112.7,2.999999981,1.433604341,2.188793121,1.3426,230.8,7.964997442,57.5,47.2,12.6,29.9,
50,Booth,Bridges,Brunson,Hart,122.8,93.9,2.559999982,1.654197123,2.5,1.229142857,110.7,7.943339962,54.2,50.6,9.9,28,
11,Arcidiacono,Bridges,Hart,Ochefu,119.8,105.7,3.226666647,1.6477091,1.650000021,1.3844,291.3,7.908775767,59.2,50.5,15.1,30.6,
