lineup_id,player0,player1,player2,off_rating,def_rating,eff_fg,reb_rate,to_rate,ft_rate,num_poss,clinch_rating,eff_fg_value,reb_rate_value,to_rate_value,ft_rate_value
144,Booth,Brunson,Rafferty,0,0,0,0,0,0,1,0,0.00%,0,100,0
139,Booth,Rafferty,Hart,205.1,153.8,1.999999983,1.699613284,2.5,1.5,2,7.699613267,50.00%,51.3,0,102.6
137,Booth,Jenkins,Farrell,100,0,4,2,0,0,2,6,100.00%,100,50,0
133,Booth,DiVincenzo,Rafferty,66.7,166.7,0,0,0,0,3,0,0.00%,0,33.3,0
132,DiVincenzo,Ochefu,Reynolds,133.3,66.7,1.999999983,2,2.5,0,3,6.499999983,50.00%,100,0,0
131,Brunson,Jenkins,Rafferty,0,233.3,0.666666653,0,2.5,0,3,3.166666653,40.00%,0,0,0
128,Brunson,Hart,Farrell,66.7,166.7,1.999999983,0,0,0,3,1.999999983,50.00%,0,33.3,0
121,Arcidiacono,Booth,Farrell,125,50,4,2,2.5,0,4,8.5,83.30%,75,0,0
120,Bridges,DiVincenzo,Rafferty,125,175,1.999999983,0,2.5,0,4,4.499999983,50.00%,25,0,0
114,Jenkins,Ochefu,Rafferty,80,100,4,2,0,0,5,6,66.70%,60,40,0
113,Hart,Jenkins,Farrell,80,100,4,2,0,0,5,6,66.70%,60,40,0
111,Brunson,Farrell,Rafferty,129.5,143.9,4,2,1.800862089,1.276914285,7,9.077776374,75.00%,57.6,14.4,28.8
110,Bridges,DiVincenzo,Ochefu,129.5,115.1,3.106666647,2,2.5,1.276914285,7,8.883580933,58.30%,57.6,0,28.8
109,Brunson,Rafferty,Reynolds,129.5,115.1,4,2,2.5,1.276914285,7,9.776914285,75.00%,57.6,0,28.8
108,Brunson,Farrell,Reynolds,86.3,100.7,4,0.239808109,0,1.276914285,7,5.516722394,75.00%,28.8,28.8,28.8
107,Arcidiacono,Booth,DiVincenzo,129.5,115.1,1.999999983,2,2.5,1.276914285,7,7.776914269,50.00%,57.6,0,28.8
103,Booth,Farrell,Rafferty,113.2,100.6,4,2,0,1.061942857,8,7.061942857,90.00%,62.9,37.7,25.2
